landscape architect|w|http://rdaregistry.info/Elements/w/P10425|http://rdaregistry.info/Elements/w/P10519|http://rdaregistry.info/Elements/w/P10566
librettist|w|http://rdaregistry.info/Elements/w/P10431|http://rdaregistry.info/Elements/w/P10525|http://rdaregistry.info/Elements/w/P10572
lyricist|w|http://rdaregistry.info/Elements/w/P10430|http://rdaregistry.info/Elements/w/P10524|http://rdaregistry.info/Elements/w/P10571
medium|w|http://rdaregistry.info/Elements/w/P10036|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
organizer|w|http://rdaregistry.info/Elements/w/P10457|http://rdaregistry.info/Elements/w/P10551|http://rdaregistry.info/Elements/w/P10598
photographer|w|http://rdaregistry.info/Elements/w/P10445|http://rdaregistry.info/Elements/w/P10539|http://rdaregistry.info/Elements/w/P10586
plaintiff|w|http://rdaregistry.info/Elements/w/P10043|http://rdaregistry.info/Elements/w/P10010|ERR: This label is only valid for persons and corporate bodies.
praeses|w|http://rdaregistry.info/Elements/w/P10045|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
producer|w|http://rdaregistry.info/Elements/w/P10454|http://rdaregistry.info/Elements/w/P10548|http://rdaregistry.info/Elements/w/P10595
production company|w|ERR: This label is only valid for corporate bodies.|http://rdaregistry.info/Elements/w/P10008|This label is only valid for corporate bodies.
programmer|w|http://rdaregistry.info/Elements/w/P10440|http://rdaregistry.info/Elements/w/P10534|http://rdaregistry.info/Elements/w/P10581
project supervisor|w|http://rdaregistry.info/Elements/w/P10408|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
radio director|w|http://rdaregistry.info/Elements/w/P10419|http://rdaregistry.info/Elements/w/P10513|http://rdaregistry.info/Elements/w/P10560
radio producer|w|http://rdaregistry.info/Elements/w/P10423|http://rdaregistry.info/Elements/w/P10517|http://rdaregistry.info/Elements/w/P10564
rapporteur|w|http://rdaregistry.info/Elements/w/P10432|http://rdaregistry.info/Elements/w/P10526|http://rdaregistry.info/Elements/w/P10573
related person|w|http://rdaregistry.info/Elements/w/P10312|USE: related body|USE: related family
related body|w|USE: related person|http://rdaregistry.info/Elements/w/P10314|USE: related family
related family|w|USE: related person|USE: related body|http://rdaregistry.info/Elements/w/P10313
remix artist|w|http://rdaregistry.info/Elements/w/P10449|http://rdaregistry.info/Elements/w/P10543|http://rdaregistry.info/Elements/w/P10590
research supervisor|w|http://rdaregistry.info/Elements/w/P10409|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
researcher|w|http://rdaregistry.info/Elements/w/P10416|http://rdaregistry.info/Elements/w/P10510|http://rdaregistry.info/Elements/w/P10557
respondent|w|http://rdaregistry.info/Elements/w/P10001|ERR: This label is only valid for persons.|ERR: This label is only valid for persons.
screenwriter|w|http://rdaregistry.info/Elements/w/P10429|http://rdaregistry.info/Elements/w/P10523|http://rdaregistry.info/Elements/w/P10570
sculptor|w|http://rdaregistry.info/Elements/w/P10427|http://rdaregistry.info/Elements/w/P10521|http://rdaregistry.info/Elements/w/P10568
sponsor|w|http://rdaregistry.info/Elements/w/P10607|http://rdaregistry.info/Elements/w/P10605|http://rdaregistry.info/Elements/w/P10606
subject|w|http://rdaregistry.info/Elements/w/P10261|http://rdaregistry.info/Elements/w/P10263|http://rdaregistry.info/Elements/w/P10262
television director|w|http://rdaregistry.info/Elements/w/P10420|http://rdaregistry.info/Elements/w/P10514|http://rdaregistry.info/Elements/w/P10561
television producer|w|http://rdaregistry.info/Elements/w/P10424|http://rdaregistry.info/Elements/w/P10518|http://rdaregistry.info/Elements/w/P10565
treaty participant|w|ERR: This label is only valid for corporate bodies.|http://rdaregistry.info/Elements/w/P10292|ERR: This label is only valid for corporate bodies.
abridger|e|http://rdaregistry.info/Elements/e/P20357|http://rdaregistry.info/Elements/e/P20475|http://rdaregistry.info/Elements/e/P20534
actor|e|http://rdaregistry.info/Elements/e/P20369|http://rdaregistry.info/Elements/e/P20487|http://rdaregistry.info/Elements/e/P20546
animator|e|http://rdaregistry.info/Elements/e/P20394|http://rdaregistry.info/Elements/e/P20512|http://rdaregistry.info/Elements/e/P20571
arranger|e|USE: arranger of music|http://rdaregistry.info/Elements/e/P20483|USE: arranger of music
arranger of music|e|http://rdaregistry.info/Elements/e/P20365|USE: arranger|http://rdaregistry.info/Elements/e/P20542
art director|e|http://rdaregistry.info/Elements/e/P20350|http://rdaregistry.info/Elements/e/P20468|http://rdaregistry.info/Elements/e/P20527
audio engineer|e|http://rdaregistry.info/Elements/e/P20348|http://rdaregistry.info/Elements/e/P20466|http://rdaregistry.info/Elements/e/P20525
